;locality;stateProvince;occurrenceStatus;individualCount;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;elevation;eventDate;year;basisOfRecord;institutionCode;collectionCode;issue
6317;Reserva Natural Comunitaria Cerro El Inglés;Valle del Cauca;PRESENT;2;4.741488;-76.296005;NA;NA;01/08/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6318;Cueva del Condor (5.9261,-74.8386);Antioquia;PRESENT;20;5.927807;-74.83882;NA;NA;11/06/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6319;Tepuy Nuevo Tolima;Guaviare;PRESENT;1;2.462915;-72.754326;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6320;RN Cañon del Río Claro;Antioquia;PRESENT;3;5.89226;-74.855286;NA;NA;27/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6321;Finca Las Palmas;Caquetá;PRESENT;10;1.646466;-75.5134;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6322;La Cabaña;Tolima;PRESENT;1;4.888079;-75.25216;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6323;Cueva del Condor;Antioquia;PRESENT;40;5.928789;-74.83953;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6324;La Danta;Antioquia;PRESENT;100;5.835673;-74.83268;NA;NA;23/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6325;Bosque Bavaria;Meta;PRESENT;1;4.18298;-73.65183;NA;NA;06/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6326;Bosque Bavaria;Meta;PRESENT;1;4.18298;-73.65183;NA;NA;06/07/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6327;La Cabaña;Tolima;PRESENT;1;4.888079;-75.25216;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6328;Tepuy Nuevo Tolima;Guaviare;PRESENT;1;2.462915;-72.754326;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6329;La Cabaña;Tolima;PRESENT;1;4.888079;-75.25216;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6330;La Cabaña;Tolima;PRESENT;1;4.888079;-75.25216;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6331;La Cabaña;Tolima;PRESENT;1;4.888079;-75.25216;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6332;Cueva del Condor;Antioquia;PRESENT;40;5.928789;-74.83953;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6333;CO-Antioquia-Jardín - 5.624x-75.776 - may 27, 2017 11:30;Antioquia;PRESENT;2;5.623902;-75.77608;NA;NA;27/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6334;PNN Purace Area- Oilbird Cave 2.307x-76.253;Huila;PRESENT;5;2.306844;-76.25264;NA;NA;08/04/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6335;Finca Paraiso de Cocora;Tolima;PRESENT;2;4.388472;-75.321976;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6336;El hoyo de los pájaros;Santander;PRESENT;10;6.488543;-73.03907;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6337;Tepuy Nuevo Tolima;Guaviare;PRESENT;1;2.462915;-72.754326;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6338;PNN Puracé--Sector San Nicolás;Cauca;PRESENT;10;2.321409;-76.28609;NA;NA;08/04/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6339;San Pedro Victoria Alta;Caquetá;PRESENT;1;1.680398;-75.44879;NA;NA;13/05/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6340;Rio Claro RN;Antioquia;PRESENT;10;5.89438;-74.85725;NA;NA;09/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6341;RN Cañon del Río Claro;Antioquia;PRESENT;200;5.89226;-74.855286;NA;NA;22/03/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6342;RN Cañón del Río Claro;Antioquia;PRESENT;1;5.89407;-74.85938;NA;NA;23/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6343;2,3582x-76,3593 - 21 feb. 2017 7:31 a.m.;Cauca;PRESENT;5;2.358181;-76.35925;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6344;PNN Puracé--Sector San Nicolás;Cauca;PRESENT;5;2.321409;-76.28609;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6345;Bosque la Danta - Río claro;Antioquia;PRESENT;25;5.8606;-74.862144;NA;NA;07/03/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6346;Cueva del Condor;Antioquia;PRESENT;NA;5.928789;-74.83953;NA;NA;07/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6347;PNN Puracé--Sector San Nicolás;Cauca;PRESENT;5;2.321409;-76.28609;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6348;Rio Claro RN;Antioquia;PRESENT;10;5.89438;-74.85725;NA;NA;09/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6349;RN Cañon del Río Claro;Antioquia;PRESENT;NA;5.89226;-74.855286;NA;NA;19/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6350;RN Cañon del Río Claro;Antioquia;PRESENT;100;5.89226;-74.855286;NA;NA;04/03/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6351;RN Cañon del Río Claro;Antioquia;PRESENT;NA;5.89226;-74.855286;NA;NA;19/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6352;PNN Purace Area- Oilbird Cave 2.307x-76.253;Huila;PRESENT;5;2.306844;-76.25264;NA;NA;08/04/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6353;Termales de San Juan;Cauca;PRESENT;4;2.343383;-76.31713;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6354;RN Cañon del Río Claro;Antioquia;PRESENT;NA;5.89226;-74.855286;NA;NA;19/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6355;RN Cañon del Río Claro;Antioquia;PRESENT;50;5.89226;-74.855286;NA;NA;05/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6356;Cueva del Condor;Antioquia;PRESENT;50;5.928789;-74.83953;NA;NA;24/03/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6357;RN Cañon del Río Claro;Antioquia;PRESENT;50;5.89226;-74.855286;NA;NA;12/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6358;Cueva del Condor;Antioquia;PRESENT;1;5.928789;-74.83953;NA;NA;07/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6359;Rio Claro RN;Antioquia;PRESENT;10;5.89438;-74.85725;NA;NA;09/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6360;RN Cañon del Río Claro;Antioquia;PRESENT;NA;5.89226;-74.855286;NA;NA;19/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6361;RN Cañon del Río Claro;Antioquia;PRESENT;150;5.89226;-74.855286;NA;NA;01/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6362;RN Cañon del Río Claro;Antioquia;PRESENT;140;5.89226;-74.855286;NA;NA;02/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6363;Ruta del Condor 5.921x-74.837 - 9 Jan 2017 4:47 pm;Antioquia;PRESENT;10;5.921336;-74.83717;NA;NA;09/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6364;PNN Puracé--Sector San Nicolás;Cauca;PRESENT;5;2.321409;-76.28609;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6365;PNN Puracé--Sector San Nicolás;Cauca;PRESENT;5;2.321409;-76.28609;NA;NA;21/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6366;RN Cañon del Río Claro;Antioquia;PRESENT;15;5.89226;-74.855286;NA;NA;12/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6367;RN Cañon del Río Claro;Antioquia;PRESENT;150;5.89226;-74.855286;NA;NA;01/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6368;RNA Las Tangaras--Sendas;Chocó;PRESENT;1;5.80666;-76.18155;NA;NA;10/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6369;Rio Claro RN;Antioquia;PRESENT;10;5.89438;-74.85725;NA;NA;09/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6370;RN Cañon del Río Claro;Antioquia;PRESENT;80;5.89226;-74.855286;NA;NA;05/02/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;COORDINATE_ROUNDED
6371;Reserva Natural Cañon Del Río Claro, Antioquia;Antioquia;PRESENT;3;5.891347;-74.85519;NA;NA;13/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6372;RNA Las Tangaras--Sendas;Chocó;PRESENT;1;5.80666;-76.18155;NA;NA;10/01/2017;2017;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6373;Tunja;Boyacá;PRESENT;1;5.535441;-73.3594;NA;NA;15/03/2016;2016;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6374;Columbia, Old road to Santa Marta;Magdalena;PRESENT;1;11.263728;-74.07268;NA;NA;02/11/2015;2015;HUMAN_OBSERVATION;CLO;EBIRD;CONTINENT_DERIVED_FROM_COORDINATES
6375;NA;Huila;PRESENT;NA;1.632833;-76.110026;263;NA;2018-12-18T10:51:25;2018;HUMAN_OBSERVATION;iNaturalist;Observations;COORDINATE_ROUNDED
6376;NA;Caldas;PRESENT;NA;5.389161;-75.145464;15;NA;28/08/2016;2016;HUMAN_OBSERVATION;iNaturalist;Observations;COORDINATE_ROUNDED
6377;NA;Caldas;PRESENT;NA;5.389181;-75.145328;122;NA;28/08/2016;2016;HUMAN_OBSERVATION;iNaturalist;Observations;COORDINATE_ROUNDED
