"","...1","decimalLatitude","decimalLongitude","bio_01","bio_02","bio_04","bio_12","bio_15","bio_18"
"209",755,2.351251,-76.318504,9.75,6.59999990463257,52.7000007629395,2467.30004882812,38.2000007629395,709.200012207031
"210",769,5.977074,-74.91147,23.9500007629395,8.5,49,3805.89990234375,33.7000007629395,769.5
"211",771,3.458053,-76.46253,22.1499996185303,7.40000009536743,23,1254.59997558594,40.4000015258789,351.799987792969
"212",777,1.427271,-76.4792,21.75,7.69999980926514,72,4130,21.5,831.099975585938
"213",779,6.492045,-73.22175,20.1499996185303,8.80000019073486,21.7999992370605,2192.69995117188,29.6000003814697,664.200012207031
"214",782,4.694559,-75.57515,15.5500001907349,7,20.5,3284.30004882812,31.6000003814697,995.5
"215",783,6.978024,-73.4479,20.75,6.40000009536743,29,3035.69995117188,31.6000003814697,843.700012207031
"216",789,1.720132,-76.11933,18.25,8.19999980926514,70.0999984741211,2758.39990234375,20.1000003814697,542.099975585938
"217",790,2.569236,-72.88565,24.9500007629395,6.90000009536743,84.3000030517578,2949.60009765625,43.7999992370605,348.700012207031
"218",792,2.155138,-73.68354,24.8500003814697,7.09999990463257,87.8000030517578,2585.5,46.0999984741211,320.399993896484
"219",793,1.251783,-76.56739,24.0499992370605,7.30000019073486,61.5999984741211,3381.60009765625,20.3999996185303,874.200012207031
"220",794,1.438398,-76.47666,21.6499996185303,7.69999980926514,71.6999969482422,4119,21.2000007629395,833
"221",796,2.544093,-72.8344,25.0499992370605,7,84.3000030517578,3075.19995117188,43.5999984741211,365.299987792969
"222",803,4.02774,-74.73323,24.75,7.19999980926514,31.2000007629395,2631.10009765625,43.7999992370605,608
"223",808,1.151707,-76.29527,24.25,7.30000019073486,68.5,6135.60009765625,28.2999992370605,1211.90002441406
"224",809,6.196459,-74.93049,21.6499996185303,8,40.7000007629395,4479,33,1159.19995117188
"225",814,4.33367,-75.82608,21.5499992370605,7.19999980926514,15.5,2227.10009765625,32.5999984741211,711.099975585938
"226",815,6.070074,-73.86237,12.3500003814697,7.19999980926514,29.2000007629395,5039.89990234375,30.5,1615.40002441406
"227",816,3.44394,-76.5407,21.8500003814697,7.30000019073486,23.6000003814697,1284.5,43,358.799987792969
"228",820,5.651824,-74.07126,23.6499996185303,8.10000038146973,34.7999992370605,2827.19995117188,35.2999992370605,898.599975585938
"229",822,5.36369,-75.79639,14.8500003814697,7.80000019073486,18.8999996185303,3738.60009765625,26.8999996185303,895.900024414062
"230",823,3.166751,-74.94643,19.3500003814697,8.30000019073486,46.5,2109.30004882812,49.9000015258789,516.5
"231",833,5.583666,-74.93199,23.9500007629395,9.39999961853027,67.5999984741211,3013.60009765625,36.5999984741211,602.299987792969
"232",835,5.567935,-74.911835,24.8500003814697,9.5,69.9000015258789,2903.69995117188,37,574.099975585938
"233",843,3.346703,-76.65247,14.4499998092651,6.80000019073486,23.1000003814697,2575.10009765625,34.9000015258789,819.5
"234",861,4.645762,-75.58247,17.75,7.09999990463257,18.6000003814697,2987.19995117188,30,892.900024414062
"235",878,1.258574,-76.5699,23.8500003814697,7.30000019073486,61.5999984741211,3295.60009765625,20.2999992370605,852.200012207031
"236",882,1.148988,-76.289116,24.5499992370605,7.19999980926514,68.9000015258789,5900.60009765625,28.3999996185303,1162.30004882812
"237",886,11.100182,-74.07206,15.5500001907349,4.40000009536743,40.5999984741211,2891.89990234375,63.0999984741211,957.599975585938
"238",888,6.139831,-73.73932,18.75,7.19999980926514,27.5,3614.60009765625,31.6000003814697,1059.80004882812
"239",898,4.872879,-73.006485,24.0499992370605,7.5,104.699996948242,4054.69995117188,62.5,247.899993896484
"240",905,2.355014,-76.49385,15.0500001907349,7.09999990463257,18.8999996185303,2355.60009765625,45.7999992370605,474.5
